SORA Publication Date,SORA
17 May 2010,0.0315
18 May 2010,0.0257
19 May 2010,0.0372
20 May 2010,0.0488
21 May 2010,0.0584
24 May 2010,0.0998
25 May 2010,0.1018
26 May 2010,0.1669
27 May 2010,0.2446
31 May 2010,0.2000
01 Jun 2010,0.0906
02 Jun 2010,0.0575
03 Jun 2010,0.0467
04 Jun 2010,0.1500
07 Jun 2010,0.2579
08 Jun 2010,0.2794
09 Jun 2010,0.2977
10 Jun 2010,0.2856
11 Jun 2010,0.1104
14 Jun 2010,0.0683
15 Jun 2010,0.0672
16 Jun 2010,0.0539
17 Jun 2010,0.0565
18 Jun 2010,0.0750
21 Jun 2010,0.1437
22 Jun 2010,0.0518
23 Jun 2010,0.0515
24 Jun 2010,0.0414
25 Jun 2010,0.0792
28 Jun 2010,0.2177
29 Jun 2010,0.1382
30 Jun 2010,0.0920
01 Jul 2010,0.0920
02 Jul 2010,0.0524
05 Jul 2010,0.0586
06 Jul 2010,0.0611
07 Jul 2010,0.0726
08 Jul 2010,0.0947
09 Jul 2010,0.1109
12 Jul 2010,0.1634
13 Jul 2010,0.1573
14 Jul 2010,0.1061
15 Jul 2010,0.1005
16 Jul 2010,0.1298
19 Jul 2010,0.1835
20 Jul 2010,0.1360
21 Jul 2010,0.1132
22 Jul 2010,0.1182
23 Jul 2010,0.1117
26 Jul 2010,0.1205
27 Jul 2010,0.0839
28 Jul 2010,0.0966
29 Jul 2010,0.1270
30 Jul 2010,0.1666
02 Aug 2010,0.1828
03 Aug 2010,0.1122
04 Aug 2010,0.0758
05 Aug 2010,0.0408
06 Aug 2010,0.0510
10 Aug 2010,0.1041
11 Aug 2010,0.0992
12 Aug 2010,0.0698
13 Aug 2010,0.0890
16 Aug 2010,0.0817
17 Aug 2010,0.0858
18 Aug 2010,0.1096
19 Aug 2010,0.0990
20 Aug 2010,0.1297
23 Aug 2010,0.1107
24 Aug 2010,0.1299
25 Aug 2010,0.1091
26 Aug 2010,0.1253
27 Aug 2010,0.1582
30 Aug 2010,0.1459
31 Aug 2010,0.1426
01 Sep 2010,0.1459
02 Sep 2010,0.0923
03 Sep 2010,0.1191
06 Sep 2010,0.0874
07 Sep 2010,0.0653
08 Sep 2010,0.0992
09 Sep 2010,0.0799
13 Sep 2010,0.0648
14 Sep 2010,0.1019
15 Sep 2010,0.0986
16 Sep 2010,0.1043
17 Sep 2010,0.1291
20 Sep 2010,0.1830
21 Sep 2010,0.1559
22 Sep 2010,0.2194
23 Sep 2010,0.2374
24 Sep 2010,0.1282
27 Sep 2010,0.0876
28 Sep 2010,0.0872
29 Sep 2010,0.0695
30 Sep 2010,0.0771
01 Oct 2010,0.1147
04 Oct 2010,0.0777
05 Oct 2010,0.0466
06 Oct 2010,0.0490
07 Oct 2010,0.0440
08 Oct 2010,0.0463
11 Oct 2010,0.0478
12 Oct 2010,0.0521
13 Oct 2010,0.0556
14 Oct 2010,0.0527
15 Oct 2010,0.0478
18 Oct 2010,0.1499
19 Oct 2010,0.2076
20 Oct 2010,0.1192
21 Oct 2010,0.1098
22 Oct 2010,0.0859
25 Oct 2010,0.0764
26 Oct 2010,0.0652
27 Oct 2010,0.0804
28 Oct 2010,0.0777
29 Oct 2010,0.0722
01 Nov 2010,0.0688
02 Nov 2010,0.0768
03 Nov 2010,0.0531
04 Nov 2010,0.0353
08 Nov 2010,0.0982
09 Nov 2010,0.0965
10 Nov 2010,0.0846
11 Nov 2010,0.0973
12 Nov 2010,0.0480
15 Nov 2010,0.0721
16 Nov 2010,0.0882
18 Nov 2010,0.0624
19 Nov 2010,0.0663
22 Nov 2010,0.0573
23 Nov 2010,0.0643
24 Nov 2010,0.0827
25 Nov 2010,0.0769
26 Nov 2010,0.1237
29 Nov 2010,0.1507
30 Nov 2010,0.2091
01 Dec 2010,0.1530
02 Dec 2010,0.0588
03 Dec 2010,0.0676
06 Dec 2010,0.0649
07 Dec 2010,0.0608
08 Dec 2010,0.0612
09 Dec 2010,0.0650
10 Dec 2010,0.0731
13 Dec 2010,0.0985
14 Dec 2010,0.0734
15 Dec 2010,0.0698
16 Dec 2010,0.0501
17 Dec 2010,0.0638
20 Dec 2010,0.0392
21 Dec 2010,0.0497
22 Dec 2010,0.0439
23 Dec 2010,0.0407
24 Dec 2010,0.0415
27 Dec 2010,0.0633
28 Dec 2010,0.0811
29 Dec 2010,0.0774
30 Dec 2010,0.0483
31 Dec 2010,0.0728
03 Jan 2011,0.1181
04 Jan 2011,0.1319
05 Jan 2011,0.0850
06 Jan 2011,0.0778
07 Jan 2011,0.0746
10 Jan 2011,0.0709
11 Jan 2011,0.0741
12 Jan 2011,0.0451
13 Jan 2011,0.0251
14 Jan 2011,0.0380
17 Jan 2011,0.0365
18 Jan 2011,0.0303
19 Jan 2011,0.0367
20 Jan 2011,0.0238
21 Jan 2011,0.0421
24 Jan 2011,0.0446
25 Jan 2011,0.0407
26 Jan 2011,0.0313
27 Jan 2011,0.0519
28 Jan 2011,0.0991
31 Jan 2011,0.1396
01 Feb 2011,0.2185
02 Feb 2011,0.1825
07 Feb 2011,0.2194
08 Feb 2011,0.0685
09 Feb 2011,0.0509
10 Feb 2011,0.0246
11 Feb 2011,0.0237
14 Feb 2011,0.0265
15 Feb 2011,0.0270
16 Feb 2011,0.0468
17 Feb 2011,0.0430
18 Feb 2011,0.0400
21 Feb 2011,0.0495
22 Feb 2011,0.0540
23 Feb 2011,0.0553
24 Feb 2011,0.0291
25 Feb 2011,0.0494
28 Feb 2011,0.0816
01 Mar 2011,0.0707
02 Mar 2011,0.0568
03 Mar 2011,0.0293
04 Mar 2011,0.0211
07 Mar 2011,0.0230
08 Mar 2011,0.0225
09 Mar 2011,0.0219
10 Mar 2011,0.0171
11 Mar 2011,0.0164
14 Mar 2011,0.0197
15 Mar 2011,0.0158
16 Mar 2011,0.0120
17 Mar 2011,0.0110
18 Mar 2011,0.0154
21 Mar 2011,0.0159
22 Mar 2011,0.0153
23 Mar 2011,0.0143
24 Mar 2011,0.0121
25 Mar 2011,0.0216
28 Mar 2011,0.0247
29 Mar 2011,0.0429
30 Mar 2011,0.0564
31 Mar 2011,0.0961
01 Apr 2011,0.1574
04 Apr 2011,0.1363
05 Apr 2011,0.0960
06 Apr 2011,0.0397
07 Apr 2011,0.0208
08 Apr 2011,0.0285
11 Apr 2011,0.0190
12 Apr 2011,0.0180
13 Apr 2011,0.0181
14 Apr 2011,0.0156
15 Apr 2011,0.0142
18 Apr 2011,0.0225
19 Apr 2011,0.0276
20 Apr 2011,0.0745
21 Apr 2011,0.1159
25 Apr 2011,0.0824
26 Apr 2011,0.0745
27 Apr 2011,0.1360
28 Apr 2011,0.1873
29 Apr 2011,0.1251
03 May 2011,0.1239
04 May 2011,0.0814
05 May 2011,0.0550
06 May 2011,0.0246
09 May 2011,0.0322
10 May 2011,0.0499
11 May 2011,0.1037
12 May 2011,0.1049
13 May 2011,0.0511
16 May 2011,0.0825
18 May 2011,0.0415
19 May 2011,0.0444
20 May 2011,0.0321
23 May 2011,0.0313
24 May 2011,0.0295
25 May 2011,0.0490
26 May 2011,0.1147
27 May 2011,0.1290
30 May 2011,0.0934
31 May 2011,0.0816
01 Jun 2011,0.0884
02 Jun 2011,0.0678
03 Jun 2011,0.0618
06 Jun 2011,0.0636
07 Jun 2011,0.0609
08 Jun 2011,0.0212
09 Jun 2011,0.0357
10 Jun 2011,0.0286
13 Jun 2011,0.0209
14 Jun 2011,0.0268
15 Jun 2011,0.0374
16 Jun 2011,0.0351
17 Jun 2011,0.0535
20 Jun 2011,0.0672
21 Jun 2011,0.0781
22 Jun 2011,0.0443
23 Jun 2011,0.0360
24 Jun 2011,0.0313
27 Jun 2011,0.0409
28 Jun 2011,0.0419
29 Jun 2011,0.0843
30 Jun 2011,0.0437
01 Jul 2011,0.0728
04 Jul 2011,0.0405
05 Jul 2011,0.0296
06 Jul 2011,0.0332
07 Jul 2011,0.0575
08 Jul 2011,0.0544
11 Jul 2011,0.0332
12 Jul 2011,0.0385
13 Jul 2011,0.0249
14 Jul 2011,0.0394
15 Jul 2011,0.0471
18 Jul 2011,0.0554
19 Jul 2011,0.0557
20 Jul 2011,0.0471
21 Jul 2011,0.0318
22 Jul 2011,0.0525
25 Jul 2011,0.0402
26 Jul 2011,0.0234
27 Jul 2011,0.0308
28 Jul 2011,0.0244
29 Jul 2011,0.0123
01 Aug 2011,0.0207
02 Aug 2011,0.0324
03 Aug 2011,0.0319
04 Aug 2011,0.0723
05 Aug 2011,0.0430
08 Aug 2011,0.0391
10 Aug 2011,0.0588
11 Aug 2011,0.0310
12 Aug 2011,0.0054
15 Aug 2011,0.0186
16 Aug 2011,0.0215
17 Aug 2011,0.0375
18 Aug 2011,0.0811
19 Aug 2011,0.1000
22 Aug 2011,0.0694
23 Aug 2011,0.1090
24 Aug 2011,0.1017
25 Aug 2011,0.0790
26 Aug 2011,0.0367
29 Aug 2011,0.0433
31 Aug 2011,0.0262
