Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
KINGSFORD WATERBAY,"840,000",656.6,"1,279",Oct-20,UPPER SERANGOON VIEW,Resale,Strata,61,"13,770",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
EASTWOOD REGENCY,"560,000",398.27,"1,406",Oct-20,EASTWOOD ROAD,Resale,Strata,37,"15,135",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
JEWEL @ BUANGKOK,"1,020,000",785.77,"1,298",Oct-20,COMPASSVALE BOW,Resale,Strata,73,"13,973",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,16 to 20
THE MINTON,"1,320,000","1,216.33","1,085",Oct-20,HOUGANG STREET 11,Resale,Strata,113,"11,681",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
THE MINTON,"725,000",699.66,"1,036",Oct-20,HOUGANG STREET 11,Resale,Strata,65,"11,154",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
TANJONG RIA CONDOMINIUM,"900,000",807.3,"1,115",Oct-20,TANJONG RHU ROAD,Resale,Strata,75,"12,000",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
EBONY MANSIONS,"1,430,000","1,302.44","1,098",Oct-20,LORONG M TELOK KURAU,Resale,Strata,121,"11,818",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PARC OLYMPIA,"938,000",968.76,968,Oct-20,FLORA DRIVE,Resale,Strata,90,"10,422",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
THE PROMENADE@PELIKAT,"1,300,000","1,388.56",936,Oct-20,JALAN PELIKAT,Resale,Strata,129,"10,078",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
ESTELLA GARDENS,"820,000",958,856,Oct-20,FLORA ROAD,Resale,Strata,89,"9,213",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
SUITES @ KOVAN,"500,000",365.98,"1,366",Oct-20,UPPER SERANGOON ROAD,Resale,Strata,34,"14,706",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SHIRO,"640,000",452.09,"1,416",Oct-20,LORONG H TELOK KURAU,Resale,Strata,42,"15,238",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE QUINN,"2,050,000","1,722.24","1,190",Oct-20,BARTLEY ROAD,Resale,Strata,160,"12,813",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
HILLVIEW GREEN,"1,420,000","1,280.92","1,109",Oct-20,HUME AVENUE,Resale,Strata,119,"11,933",-,Condominium,1,999 yrs lease commencing from 1883,21,Outside Central Region,06 to 10
THE JOVELL,"844,000",635.08,"1,329",Oct-20,FLORA DRIVE,New Sale,Strata,59,"14,305",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,06 to 10
VIEW AT KISMIS,"1,613,000",893.41,"1,805",Oct-20,LORONG KISMIS,New Sale,Strata,83,"19,434",-,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05
VIEW AT KISMIS,"1,235,000",710.42,"1,738",Oct-20,LORONG KISMIS,New Sale,Strata,66,"18,712",-,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05
HUME PARK II,"1,450,000","1,237.86","1,171",Oct-20,HUME AVENUE,Resale,Strata,115,"12,609",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
RAFFLESIA CONDOMINIUM,"1,430,000","1,194.8","1,197",Oct-20,BISHAN STREET 21,Resale,Strata,111,"12,883",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20
TREASURE AT TAMPINES,"2,072,000","1,722.24","1,203",Oct-20,TAMPINES LANE,New Sale,Strata,160,"12,950",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
ARCHIPELAGO,"1,700,000","1,539.25","1,104",Oct-20,BEDOK RESERVOIR ROAD,Resale,Strata,143,"11,888",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
PARC OLYMPIA,"1,000,000","1,140.98",876,Oct-20,FLORA DRIVE,Resale,Strata,106,"9,434",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
AURALIS,"1,035,000",710.42,"1,457",Oct-20,EAST COAST ROAD,Resale,Strata,66,"15,682",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CASA AL MARE,"1,283,000",785.77,"1,633",Oct-20,JALAN LOYANG BESAR,New Sale,Strata,73,"17,575",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
CASA AL MARE,"790,000",484.38,"1,631",Oct-20,JALAN LOYANG BESAR,New Sale,Strata,45,"17,556",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"880,400",505.91,"1,740",Oct-20,COMPASSVALE BOW,New Sale,Strata,47,"18,732",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
HEDGES PARK CONDOMINIUM,"915,000","1,001.05",914,Oct-20,FLORA DRIVE,Resale,Strata,93,"9,839",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10
MAPLE WOODS,"2,850,000","1,496.2","1,905",Oct-20,BUKIT TIMAH ROAD,Resale,Strata,139,"20,504",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
VILLA MARINA,"1,132,000","1,151.75",983,Oct-20,JALAN SEMPADAN,Resale,Strata,107,"10,579",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
TERRASSE,"920,000",807.3,"1,140",Oct-20,TERRASSE LANE,Resale,Strata,75,"12,267",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
NEPTUNE COURT,"1,078,000","1,270.15",849,Oct-20,MARINE VISTA,Resale,Strata,118,"9,136",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,06 to 10
OPTIMA @ TANAH MERAH,"1,180,000","1,097.93","1,075",Oct-20,TANAH MERAH KECHIL AVENUE,Resale,Strata,102,"11,569",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,11 to 15
TANGERINE GROVE,"1,450,000","1,194.8","1,214",Oct-20,PAYA LEBAR CRESCENT,Resale,Strata,111,"13,063",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE SEA VIEW,"2,318,888","1,216.33","1,906",Oct-20,AMBER ROAD,Resale,Strata,113,"20,521",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
AMBER RESIDENCES,"4,380,000","4,079.56","1,074",Oct-20,AMBER ROAD,Resale,Strata,379,"11,557",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
RIVER ISLES,"1,185,000","1,173.28","1,010",Oct-20,EDGEDALE PLAINS,Resale,Strata,109,"10,872",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
WATERFRONT ISLE,"1,460,000","1,259.39","1,159",Oct-20,BEDOK RESERVOIR ROAD,Resale,Strata,117,"12,479",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,06 to 10
A TREASURE TROVE,"1,275,000","1,044.11","1,221",Oct-20,PUNGGOL WALK,Resale,Strata,97,"13,144",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE MORNING GLORY,"910,000","1,065.64",854,Oct-20,SIRAT ROAD,Resale,Strata,99,"9,192",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE MINTON,"1,500,000","1,323.97","1,133",Oct-20,HOUGANG STREET 11,Resale,Strata,123,"12,195",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
BARTLEY RESIDENCES,"660,000",462.85,"1,426",Oct-20,LORONG HOW SUN,Resale,Strata,43,"15,349",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
HILLVIEW GREEN,"1,130,000","1,001.05","1,129",Oct-20,HUME AVENUE,Resale,Strata,93,"12,151",-,Condominium,1,999 yrs lease commencing from 1883,21,Outside Central Region,01 to 05
THE GARDEN RESIDENCES,"873,800",516.67,"1,691",Oct-20,SERANGOON NORTH VIEW,New Sale,Strata,48,"18,204",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
TANAMERA CREST,"1,070,000","1,603.84",667,Oct-20,PARI DEDAP WALK,Resale,Strata,149,"7,181",-,Condominium,1,99 yrs lease commencing from 2000,16,Outside Central Region,01 to 05
THE VERTE,"1,415,000","1,119.46","1,264",Oct-20,LORONG H TELOK KURAU,Resale,Strata,104,"13,606",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
DAINTREE RESIDENCE,"1,000,750",559.73,"1,788",Oct-20,TOH TUCK ROAD,New Sale,Strata,52,"19,245",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
MEYERHOUSE,"8,541,000","3,444.48","2,480",Oct-20,MEYER ROAD,New Sale,Strata,320,"26,691",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
SEASIDE RESIDENCES,"2,168,000","1,087.16","1,994",Oct-20,SIGLAP LINK,New Sale,Strata,101,"21,465",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,26 to 30
PARKSHORE,"1,688,000","1,001.05","1,686",Oct-20,TANJONG RHU ROAD,Resale,Strata,93,"18,151",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
DOUBLE BAY RESIDENCES,"1,680,000","1,550.02","1,084",Oct-20,SIMEI STREET 4,Resale,Strata,144,"11,667",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
THE CHUAN,"1,530,000",936.47,"1,634",Oct-20,LORONG CHUAN,Resale,Strata,87,"17,586",-,Condominium,1,999 yrs lease commencing from 1877,19,Outside Central Region,16 to 20
THE LUSH,"2,280,000","2,120.51","1,075",Oct-20,DUKU ROAD,Resale,Strata,197,"11,574",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,446,000","1,087.16","1,330",Oct-20,TAMPINES LANE,New Sale,Strata,101,"14,317",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
JADESCAPE,"1,780,000","1,011.82","1,759",Oct-20,SHUNFU ROAD,New Sale,Strata,94,"18,936",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,06 to 10
RIVERVALE CREST,"820,000","1,216.33",674,Oct-20,RIVERVALE CRESCENT,Resale,Strata,113,"7,257",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,01 to 05
LAGUNA PARK,"1,450,000","1,453.14",998,Oct-20,MARINE PARADE ROAD,Resale,Strata,135,"10,741",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,11 to 15
MANDARIN GARDENS,"1,780,000","1,571.54","1,133",Oct-20,SIGLAP ROAD,Resale,Strata,146,"12,192",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20
THE FLORENCE RESIDENCES,"1,157,000",667.37,"1,734",Oct-20,HOUGANG AVENUE 2,New Sale,Strata,62,"18,661",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RESIDENTIAL APARTMENTS,"1,428,000","1,076.4","1,327",Oct-20,STANGEE PLACE,Resale,Strata,100,"14,280",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BAYSHORE PARK,"1,000,000",936.47,"1,068",Oct-20,BAYSHORE ROAD,Resale,Strata,87,"11,494",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,16 to 20
ARCHIPELAGO,"1,400,000","1,184.04","1,182",Oct-20,BEDOK RESERVOIR ROAD,Resale,Strata,110,"12,727",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
EAST MEADOWS,"1,168,000","1,216.33",960,Oct-20,TANAH MERAH KECHIL ROAD,Resale,Strata,113,"10,336",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,11 to 15
STRATUM,"1,250,000","1,399.32",893,Oct-20,ELIAS ROAD,Resale,Strata,130,"9,615",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
SANDY PALM,"1,200,000","1,786.82",672,Oct-20,JALAN LOYANG BESAR,Resale,Strata,166,"7,229",-,Condominium,1,99 yrs lease commencing from 1996,17,Outside Central Region,01 to 05
THE WATERLINE,"1,400,000","1,237.86","1,131",Oct-20,POH HUAT ROAD WEST,Resale,Strata,115,"12,174",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
STARS OF KOVAN,"1,264,000",764.24,"1,654",Oct-20,UPPER SERANGOON ROAD,Sub Sale,Strata,71,"17,803",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,11 to 15
WATERFRONT ISLE,"1,450,000","1,151.75","1,259",Oct-20,BEDOK RESERVOIR ROAD,Resale,Strata,107,"13,551",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,11 to 15
WATERFRONT KEY,"1,570,000","1,356.26","1,158",Oct-20,BEDOK RESERVOIR ROAD,Resale,Strata,126,"12,460",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,06 to 10
KATONG REGENCY,"1,740,000",936.47,"1,858",Oct-20,TANJONG KATONG ROAD,Resale,Strata,87,"20,000",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
D'ZIRE,"750,000",613.55,"1,222",Oct-20,ROBEY CRESCENT,Resale,Strata,57,"13,158",-,Apartment,1,999 yrs lease commencing from 1875,19,Outside Central Region,01 to 05
